Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,158.78,160.73,158.33,160.62,160.62,22634546.0
2020-01-03,158.32,159.95,158.06,158.62,158.62,21121681.0
2020-01-06,157.08,159.1,156.51,159.03,159.03,20826702.0
2020-01-07,159.32,159.67,157.32,157.58,157.58,21881740.0
2020-01-08,158.93,160.8,157.95,160.09,160.09,27762026.0
2020-01-09,161.84,162.22,161.03,162.09,162.09,21399951.0
2020-01-10,162.82,163.22,161.18,161.34,161.34,20733946.0
2020-01-13,161.76,163.31,161.26,163.28,163.28,21637007.0
2020-01-14,163.39,163.6,161.72,162.13,162.13,23500783.0
2020-01-15,162.62,163.94,162.57,163.18,163.18,21417871.0
2020-01-16,164.35,166.24,164.03,166.17,166.17,23865360.0
2020-01-17,167.42,167.47,165.43,167.1,167.1,34371659.0
2020-01-21,166.68,168.19,166.43,166.5,166.5,29517191.0
2020-01-22,167.4,167.49,165.68,165.7,165.7,24138777.0
2020-01-23,166.19,166.8,165.27,166.72,166.72,19680766.0
2020-01-24,167.51,167.53,164.45,165.04,165.04,24918117.0
2020-01-27,161.15,163.38,160.2,162.28,162.28,32078067.0
2020-01-28,163.78,165.76,163.07,165.46,165.46,24899940.0
2020-01-29,167.84,168.75,165.69,168.04,168.04,35127771.0
2020-01-30,174.05,174.05,170.79,172.78,172.78,51597470.0
2020-01-31,172.21,172.4,169.58,170.23,170.23,36142690.0
2020-02-03,170.43,174.5,170.4,174.38,174.38,30149052.0
2020-02-04,177.14,180.64,176.31,180.12,180.12,36433339.0
2020-02-05,184.03,184.2,178.41,179.9,179.9,39186324.0
2020-02-06,180.97,183.82,180.06,183.63,183.63,27751381.0
2020-02-07,182.85,185.63,182.48,183.89,183.89,33529074.0
2020-02-10,183.58,188.84,183.25,188.7,188.7,35844267.0
2020-02-11,190.65,190.7,183.5,184.44,184.44,53159906.0
2020-02-12,185.58,185.85,181.85,184.71,184.71,47062921.0
2020-02-13,183.08,186.23,182.87,183.71,183.71,35295834.0
2020-02-14,183.25,185.41,182.65,185.35,185.35,23149516.0
2020-02-18,185.61,187.7,185.5,187.23,187.23,27853113.0
2020-02-19,188.06,188.18,186.47,187.28,187.28,29997471.0
2020-02-20,186.95,187.25,181.1,184.42,184.42,36862376.0
2020-02-21,183.17,183.5,177.25,178.59,178.59,48600385.0
2020-02-24,167.77,174.55,163.23,170.89,170.89,68311066.0
2020-02-25,174.2,174.84,167.65,168.07,168.07,68073295.0
2020-02-26,169.71,173.26,168.21,170.17,170.17,56387148.0
2020-02-27,163.32,167.03,157.98,158.18,158.18,93174906.0
2020-02-28,152.41,163.71,152.0,162.01,162.01,97073557.0
2020-03-02,165.31,172.92,162.31,172.79,172.79,71030810.0
2020-03-03,173.8,175.0,162.26,164.51,164.51,71677019.0
2020-03-04,168.49,170.7,165.62,170.55,170.55,49814383.0
2020-03-05,166.05,170.87,165.69,166.27,166.27,47817251.0
2020-03-06,162.61,163.11,156.0,161.57,161.57,72821057.0
2020-03-09,151.0,157.75,150.0,150.62,150.62,70419274.0
2020-03-10,158.16,161.03,152.58,160.92,160.92,65354385.0
2020-03-11,157.13,157.7,151.15,153.63,153.63,56504304.0
2020-03-12,145.3,153.47,138.58,139.06,139.06,93226366.0
2020-03-13,147.5,161.91,140.73,158.83,158.83,92727446.0
2020-03-16,140.0,149.35,135.0,135.42,135.42,87905868.0
2020-03-17,140.0,147.5,135.0,146.57,146.57,81059817.0
2020-03-18,138.0,146.0,135.02,140.4,140.4,81593173.0
2020-03-19,142.77,150.15,139.0,142.71,142.71,85922661.0
2020-03-20,146.0,147.1,135.86,137.35,137.35,84866215.0
2020-03-23,137.01,140.57,132.52,135.98,135.98,78975176.0
2020-03-24,143.75,149.6,141.27,148.34,148.34,82516727.0
2020-03-25,148.91,154.33,144.44,146.92,146.92,75638224.0
2020-03-26,148.4,156.66,148.37,156.11,156.11,64694427.0
2020-03-27,151.75,154.89,149.2,149.7,149.7,57042291.0
2020-03-30,152.44,160.6,150.01,160.23,160.23,63420326.0
2020-03-31,159.4,164.78,156.56,157.71,157.71,77927186.0
2020-04-01,153.0,157.75,150.82,152.11,152.11,57969926.0
2020-04-02,151.86,155.48,150.36,155.26,155.26,49630735.0
2020-04-03,155.1,157.38,152.19,153.83,153.83,41243284.0
2020-04-06,160.32,166.5,157.58,165.27,165.27,67111697.0
2020-04-07,169.59,170.0,163.26,163.49,163.49,62769038.0
2020-04-08,165.67,166.67,163.5,165.13,165.13,48318234.0
2020-04-09,166.36,167.37,163.33,165.14,165.14,51431775.0
2020-04-13,164.35,165.57,162.3,165.51,165.51,41905264.0
2020-04-14,169.0,173.75,168.0,173.7,173.7,52874338.0
2020-04-15,171.2,173.57,169.24,171.88,171.88,40940833.0
2020-04-16,174.3,177.28,172.9,177.04,177.04,50479610.0
2020-04-17,179.5,180.0,175.87,178.6,178.6,52765625.0
2020-04-20,176.63,178.75,174.99,175.06,175.06,36669595.0
2020-04-21,173.5,173.67,166.11,167.82,167.82,56203749.0
2020-04-22,171.39,174.0,170.82,173.52,173.52,34651604.0
2020-04-23,174.11,175.06,170.91,171.42,171.42,32790804.0
2020-04-24,172.06,174.56,170.71,174.55,174.55,34305320.0
2020-04-27,176.59,176.9,173.3,174.05,174.05,33194384.0
2020-04-28,175.59,175.67,169.39,169.81,169.81,34392694.0
2020-04-29,173.22,177.68,171.88,177.43,177.43,51286559.0
2020-04-30,180.0,180.4,176.23,179.21,179.21,53875857.0
2020-05-01,175.8,178.64,174.01,174.57,174.57,39370474.0
2020-05-04,174.49,179.0,173.8,178.84,178.84,30372862.0
2020-05-05,180.62,183.65,179.9,180.76,180.76,36839168.0
2020-05-06,182.08,184.2,181.63,182.54,182.54,32139299.0
